filename,ocr_text,matched_code
WhatsApp Image 2026-04-29 at 1.23.00 PM.jpeg,KS_Kurta_Iith_Plazo_ Dupatta_ZS_Eabric_Cotton_Sizez 763-,
WhatsApp Image 2026-04-29 at 1.23.01 PM (1).jpeg,"Kurta with Plazo & Dupatta-95 Fabric-Mal Cotton Size-XL,2XL ML Dno-6 27 100294",
WhatsApp Image 2026-04-29 at 1.22.57 PM.jpeg,"KS Gown-112 Fabric-Cotton Size-XL,2XL,3XL M,L Dno-6 2710029351",
WhatsApp Image 2026-04-29 at 1.23.01 PM (2).jpeg,"Kurta with Plazo & Dupatta-95 Fabric-Mal Cotton Size-XL,2XL ML Dno-6 27 1002940",
WhatsApp Image 2026-04-29 at 1.23.11 PM (2).jpeg,"Gown-107 Fabric-Cotton Size-XL,2XL,3XLML 2_27_10029343 Dno-_",
WhatsApp Image 2026-04-29 at 1.23.10 PM (1).jpeg,Kuta_ith_Pants  Dupatta_z7S_Eabric-Cotton Size_XL2XL 703],
WhatsApp Image 2026-04-29 at 1.23.04 PM (1).jpeg,S Kurta with Pants & Dupatta-85 Fabric-Cotton Size XLZXLMLDno= 21,
WhatsApp Image 2026-04-29 at 1.23.05 PM.jpeg,"5 Kurta with Pants & Dupatta-89 Fabric-Cotton Size-XL,2XL,M,L Dno-3_27 1002930-",
WhatsApp Image 2026-04-29 at 1.23.11 PM.jpeg,KS Gown-99 Fabric-Cotton Size-XL 2XL MLDno-7 27 10029470,
WhatsApp Image 2026-04-29 at 1.25.38 PM.jpeg,"KS Gown-99 Fabric-Mal Chanderj Size-ML;XL,2XL Dno-2_27 10018003",
WhatsApp Image 2026-04-29 at 1.25.39 PM.jpeg,"Gown-99 Fabric-Mal Chanderi Size-XL,2XLM,L Dno-4_27 100292",
WhatsApp Image 2026-04-29 at 1.25.42 PM.jpeg,"KS Gown-102 Fabric-Mal Chanderi Size-XL,2XL,M,L Dno-3 27 10029031",
WhatsApp Image 2026-04-29 at 1.25.47 PM (1).jpeg,"KS Gown-85_Eabric_Mal Chanderi_Size_XL,2XLML Dno__ 27 0029449",
WhatsApp Image 2026-04-29 at 1.25.53 PM.jpeg,3o4 Klk 4343,
WhatsApp Image 2026-04-29 at 1.25.50 PM.jpeg,"KS_Gown-92 Fabric-Mal Chanderi Size-XL,2XL,M,L Dno-5 27 10029456",
